PID	Status	Label
29154	0	com.apple.locationaccessstored
-	0	com.apple.menuextra.battery.helper
-	0	com.apple.appleseed.seedusaged.postinstall
29266	0	com.apple.imageplaygroundd
-	0	com.apple.Maps.mapspushd
-	0	com.apple.coreidvd
-	0	com.apple.voicememod
79562	0	com.apple.gamed
-	0	com.apple.STMUIHelper
919	0	com.apple.intelligencecontextd
820	0	com.apple.knowledge-agent
4127	0	com.apple.midiserver
797	0	com.apple.mobiledeviceupdater
714	0	com.apple.AccessibilityUIServer
775	0	com.apple.communicationtrustd
-	0	com.apple.helpd
-	0	com.apple.icloudmailagent
-	0	com.apple.quicklook.ui.helper
917	0	application.com.boardtack.ScanTexter.958464.958759
-	0	com.apple.GameOverlayUI
-	0	com.apple.sharing.airdropui
79779	0	com.apple.remotespatialpreviewd
823	0	com.apple.wifi.WiFiAgent
-	0	com.apple.screensharing.MessagesAgent
-	0	com.apple.toolkitd
-	0	com.apple.diskspaced
-	0	com.google.GoogleUpdater.wake
12148	0	com.apple.visualintelligenced
12570	0	com.apple.passd
64063	0	com.apple.guidedbrowsingd
30927	0	application.com.google.Chrome.654807.14583636
-	0	com.apple.DictationIM
745	0	com.apple.sociallayerd
-	0	com.apple.mdmclient.agent
37495	0	com.apple.iCloudHelper
-	0	com.apple.CharacterPicker.FileService
47986	0	com.apple.mdworker.shared.09000000-0700-0000-0000-000000000000
29136	0	com.apple.keychainsharingmessagingd
-	0	com.apple.MessageUIMacHelperService
-	0	com.apple.gamecontroller.ConfigService
-	0	com.apple.security.XPCKeychainSandboxCheck
9619	0	com.apple.podcasts.PodcastContentService
786	0	com.apple.CoreAuthentication.agent
766	0	com.apple.syncdefaultsd
-	0	com.apple.sidecar-display-agent
772	0	com.apple.chronod
853	0	com.apple.accessibility.heard
854	0	com.apple.corespeechd
29159	0	com.apple.geoanalyticsd
-	0	com.apple.AMPSystemPlayerAgent
993	0	com.apple.itunescloudd
-	0	com.apple.scrod
3520	0	com.apple.spindump_agent
829	0	com.apple.frauddefensed
859	0	org.pqrs.service.agent.karabiner_session_monitor
-	0	com.apple.AquaAppearanceHelper
29267	0	com.apple.AuthenticationServicesCore.AuthenticationServicesAgent
-	0	com.apple.cvmsCompAgent_arm64
799	0	com.apple.milod
-	0	com.apple.bookdatastored
30846	0	application.com.kakao.KakaoTalkMac.10048702.10048737
28548	0	com.apple.security.keychain-circle-notification
28059	0	com.apple.appstorecomponentsd
1268	0	com.apple.icloud.findmydeviced.findmydevice-user-agent
-	0	com.apple.XProtect.agent.scan.startup
1020	0	com.apple.amsengagementd
32671	0	com.apple.betaenrollmentagent
29754	0	com.apple.proactiveeventtrackerd
29161	0	com.apple.proactived
1226	0	com.apple.ModelCatalogAgent
690	0	com.apple.universalaccessd
707	0	com.apple.linkd
-	0	com.apple.accessibility.MotionTrackingAgent
871	0	org.pqrs.service.agent.Karabiner-Core-Service-rev2
-	0	com.apple.ClockAngel
-	0	com.apple.neagent
29831	0	com.apple.SafariLaunchAgent
-	0	com.apple.idsfoundation.IDSRemoteURLConnectionAgent
14830	0	com.apple.textcomposerd
11096	0	com.apple.recentsd
1942	-9	com.apple.spotlightknowledged.updater
875	0	Wacom_IOManager
-	0	com.apple.transparencyStaticKey
911	0	com.apple.sirittsd
29679	0	com.apple.dprivacyd
719	0	com.apple.usernoted
1222	0	com.apple.geodMachServiceBridge
-	0	com.apple.cksharingmanagementd
80473	0	com.apple.Safari.History
913	0	com.apple.translationd
-	0	com.apple.AddressBook.abd
749	0	com.apple.calaccessd
14831	0	com.apple.textcontextd
